Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL,Stage
0,-1858.9459,-17907.8678,-3104.1626,1926.0212,-1178.9704,-19766.8137,-2357.1118,-22123.925499999998,8
1,-1853.3278,-17875.1123,-3084.8715,1916.8642,-1178.7772,-19728.4401,-2346.7845,-22075.2246,8
2,-1830.6887,-17838.8573,-3098.6396,1915.6498,-1179.8578,-19669.546,-2362.8476,-22032.3936,8
3,-1823.5713,-17928.9315,-3073.6704,1918.9148,-1173.2874,-19752.5028,-2328.0429999999997,-22080.5458,8
4,-1843.2545,-17876.156,-3182.8537,1916.5429,-1180.0899,-19719.410499999998,-2446.4007,-22165.811199999996,8
5,-1859.0048,-17946.8052,-3112.0185,1920.6583,-1176.7756,-19805.809999999998,-2368.1358,-22173.945799999998,8
6,-1855.8057,-17868.1966,-3118.9141,1924.3485,-1172.4485,-19724.0023,-2367.0141,-22091.0164,8
7,-1868.3189,-17913.1243,-3078.3225,1928.5585,-1176.2876,-19781.443199999998,-2326.0516000000002,-22107.494799999997,8
8,-1826.6508,-17920.719,-3082.3029,1928.138,-1186.3532,-19747.3698,-2340.5181000000002,-22087.8879,8
9,-1819.166,-17849.5163,-3143.482,1917.606,-1177.5299,-19668.6823,-2403.4058999999997,-22072.088200000002,8
10,-1851.6145,-17847.6279,-3110.9064,1926.7299,-1178.8411,-19699.2424,-2363.0176,-22062.260000000002,8
11,-1894.3421,-17920.5689,-3072.3091,1915.7679,-1175.0144,-19814.911,-2331.5555999999997,-22146.4666,8
12,-1841.1985,-17877.5239,-3082.9004,1908.2221,-1175.639,-19718.7224,-2350.3172999999997,-22069.039699999998,8
13,-1850.4963,-18027.6095,-2961.0101,1907.3008,-1165.3279,-19878.105799999998,-2219.0371999999998,-22097.142999999996,8
14,-1834.0872,-18074.0375,-2980.3307,1915.8341,-1176.2703,-19908.1247,-2240.7668999999996,-22148.8916,8
15,-1793.4053,-17898.2284,-3101.5023,1919.6472,-1173.0186,-19691.6337,-2354.8737,-22046.5074,8
16,-1845.653,-17858.2018,-3117.0262,1907.1637,-1157.7041,-19703.854799999997,-2367.5665999999997,-22071.421399999996,8
17,-1823.6242,-17922.6212,-3099.8984,1916.5287,-1175.9339,-19746.2454,-2359.3036,-22105.549,8
18,-1851.5435,-18020.8631,-3012.071,1910.9343,-1165.1874,-19872.4066,-2266.3241,-22138.730699999996,8
19,-1810.8929,-18040.9966,-3005.7218,1923.8335,-1183.0474,-19851.889499999997,-2264.9357,-22116.825199999996,8
