Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL,Stage
0,-42.863,-460.1778,-251.7683,130.318,-126.7713,-503.0408,-248.2216,-751.2624,1
1,-34.2129,-456.1004,-263.0853,130.4314,-125.6931,-490.31329999999997,-258.34700000000004,-748.6603,1
2,-40.5325,-457.501,-256.6461,131.3056,-126.2443,-498.0335,-251.58479999999997,-749.6182999999999,1
3,-36.2167,-455.1472,-260.7784,130.8189,-126.1899,-491.3639,-256.14939999999996,-747.5133,1
4,-37.399,-466.7779,-257.5884,130.4929,-125.5643,-504.1769,-252.6598,-756.8367000000001,1
5,-38.3049,-460.1331,-260.1192,129.4959,-125.7861,-498.438,-256.4094,-754.8474,1
6,-33.9693,-479.4824,-254.1176,127.861,-124.7882,-513.4517,-251.0448,-764.4965,1
7,-43.4993,-453.9592,-267.7709,130.7197,-125.9126,-497.4585,-262.9638,-760.4223,1
8,-35.7335,-449.658,-263.5523,132.0049,-126.3752,-485.3915,-257.9226,-743.3141,1
9,-36.9614,-463.7489,-258.954,130.3605,-126.0198,-500.71029999999996,-254.6133,-755.3235999999999,1
10,-37.7834,-465.0234,-256.3836,129.5762,-125.5608,-502.80679999999995,-252.3682,-755.175,1
11,-42.3684,-455.2996,-264.312,130.1196,-125.8004,-497.668,-259.9928,-757.6608,1
12,-42.3692,-456.7125,-253.0989,130.3794,-126.3129,-499.08169999999996,-249.0324,-748.1140999999999,1
13,-38.1468,-456.5338,-266.9642,130.9086,-125.1803,-494.68059999999997,-261.2359,-755.9165,1
14,-35.5822,-451.1581,-260.9585,129.4959,-125.7411,-486.7403,-257.2037,-743.944,1
15,-41.4949,-464.2159,-255.692,131.2111,-126.1017,-505.71079999999995,-250.5826,-756.2934,1
16,-40.002,-469.1217,-254.0092,131.3386,-126.4751,-509.1237,-249.14569999999998,-758.2693999999999,1
17,-43.2648,-456.9039,-262.4576,131.3103,-126.6348,-500.1687,-257.7821,-757.9508000000001,1
18,-37.8991,-453.4143,-259.7842,130.7858,-127.421,-491.3134,-256.4194,-747.7328000000001,1
19,-44.3653,-459.4048,-257.1347,130.8756,-126.2985,-503.7701,-252.55760000000004,-756.3277,1
