Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL,Stage
0,-1863.3398,-17743.5413,-3143.4507,1918.7541,-1169.1683,-19606.881100000002,-2393.8648999999996,-22000.746000000003,10
1,-1820.1327,-17905.2312,-3098.0146,1919.2172,-1173.5959,-19725.363899999997,-2352.3932999999997,-22077.757199999996,10
2,-1838.3962,-18014.9659,-2922.4055,1927.8309,-1180.4356,-19853.3621,-2175.0101999999997,-22028.3723,10
3,-1838.489,-17968.4618,-3001.9338,1928.8231,-1186.1788,-19806.950800000002,-2259.2895,-22066.2403,10
4,-1849.9578,-17985.492,-3019.4932,1919.3542,-1170.4224,-19835.4498,-2270.5613999999996,-22106.011199999997,10
5,-1843.0132,-18037.7525,-2944.2514,1920.3229,-1174.6508,-19880.7657,-2198.5793000000003,-22079.345,10
6,-1791.0847,-17967.1038,-3016.1684,1926.3945,-1180.711,-19758.1885,-2270.4849,-22028.6734,10
7,-1821.7706,-17884.3346,-3120.6509,1920.7245,-1178.7228,-19706.105199999998,-2378.6492,-22084.754399999998,10
8,-1863.9941,-17835.7796,-3160.0684,1913.2023,-1159.0761,-19699.7737,-2405.9422000000004,-22105.7159,10
9,-1836.6688,-17949.4706,-3082.8998,1916.524,-1175.6671,-19786.1394,-2342.0429000000004,-22128.182299999997,10
10,-1828.29,-17945.7352,-3099.3666,1928.7712,-1186.8696,-19774.0252,-2357.465,-22131.4902,10
11,-1832.0553,-18068.9347,-3038.2609,1912.1439,-1175.7036,-19900.99,-2301.8206,-22202.810600000004,10
12,-1844.5692,-18181.7428,-2893.9416,1909.7341,-1176.0044,-20026.311999999998,-2160.2119000000002,-22186.523899999997,10
13,-1805.7165,-18124.7939,-3013.8153,1908.7608,-1177.5027,-19930.5104,-2282.5572,-22213.067600000002,10
14,-1808.9184,-18021.5222,-3008.2539,1918.31,-1179.6084,-19830.440599999998,-2269.5523000000003,-22099.992899999997,10
15,-1846.6351,-17941.955,-3011.7304,1919.633,-1166.5285,-19788.5901,-2258.6259,-22047.216,10
16,-1866.7186,-17876.1741,-3084.857,1903.242,-1155.5009,-19742.8927,-2337.1159,-22080.0086,10
17,-1828.3561,-17769.2301,-3223.3371,1918.6644,-1180.2628,-19597.5862,-2484.9355000000005,-22082.5217,10
18,-1830.6691,-17801.2853,-3238.1991,1924.6557,-1189.685,-19631.9544,-2503.2284,-22135.182800000002,10
19,-1831.3646,-17866.4879,-3155.9477,1932.5512,-1193.9211,-19697.8525,-2417.3176000000003,-22115.1701,10
