Frame #,VDWAALS,EEL,EGB,ESURF,DELTA G gas,DELTA G solv,DELTA TOTAL,Stage
0,-138.6411000000001,-373.2010999999997,396.4572999999999,-19.202461199999995,-511.842199999998,377.25483880000013,-134.58736119999924,1
1,-152.49479999999994,-379.323499999998,412.70869999999974,-19.558719360000005,-531.818299999997,393.14998063999974,-138.6683193599955,1
2,-145.91789999999995,-370.51369999999974,405.1456,-19.625265360000007,-516.4316000000013,385.52033463999965,-130.9112653600007,1
3,-145.85079999999988,-388.8700999999995,426.7051,-19.713394080000008,-534.7208999999968,406.9917059200003,-127.72919407999666,1
4,-150.16639999999995,-382.824700000002,418.0950999999999,-19.88775288,-532.9911000000016,398.20734712000007,-134.78375288000143,1
5,-143.1110000000002,-380.4247999999998,403.648,-19.791798479999986,-523.5357999999998,383.8562015200001,-139.67959847999873,1
6,-146.23350000000002,-363.508999999999,402.95000000000005,-19.161925919999987,-509.74249999999813,383.7880740799999,-125.9544259199987,1
7,-148.44199999999995,-378.7859000000001,421.7129999999999,-19.407098879999985,-527.2278999999987,402.30590112000016,-124.92199887999857,1
8,-149.9473000000001,-367.94160000000136,403.19589999999994,-20.03118480000001,-517.8889000000033,383.1647151999998,-134.72418480000533,1
9,-147.6817,-392.6695000000023,416.8793000000003,-19.586489039999996,-540.3512000000035,397.2928109600002,-143.05838904000598,1
10,-149.53379999999996,-352.89009999999877,400.12679999999966,-19.615654079999985,-502.4238999999965,380.5111459199996,-121.91275407999785,1
11,-145.12119999999987,-359.2503999999993,402.6425999999998,-19.50319872,-504.3715999999964,383.1394012799999,-121.23219871999879,1
12,-141.92929999999987,-368.7729999999989,406.00759999999985,-19.583369279999985,-510.7022999999997,386.4242307199999,-124.278069279997,1
13,-151.68970000000013,-385.5634000000002,426.03259999999983,-19.403852399999998,-537.2531000000015,406.6287476000003,-130.62435240000025,1
14,-152.4353999999999,-357.17910000000177,396.99589999999966,-19.443691440000002,-509.614500000001,377.5522085599998,-132.06229143999894,1
15,-149.2795,-334.3162000000004,376.39859999999976,-19.73220264000001,-483.5956999999988,356.66639736,-126.92930263999654,1
16,-142.77999999999992,-378.2475999999985,407.8890000000003,-19.861979759999986,-521.0275999999977,388.0270202400004,-133.00057975999607,1
17,-147.3263000000001,-353.1902999999995,390.3942999999999,-20.075194079999996,-500.51659999999737,370.3191059199999,-130.19749407999745,1
18,-133.91280000000015,-330.82479999999885,365.91400000000016,-18.852572880000004,-464.7375999999995,347.06142712000036,-117.67617288000042,1
19,-148.9881000000002,-355.5901000000015,396.6261999999999,-19.188541439999998,-504.57820000000146,377.43765856000016,-127.1405414400009,1
