Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL,Stage
0,-42.7853,-477.4384,-257.3026,10.253135519999999,-520.2237,-247.04946447999998,-767.27316448,1
1,-37.3503,-456.9916,-271.2825,10.2086604,-494.3419,-261.07383960000004,-755.4157396,1
2,-36.4235,-465.6086,-267.1138,10.1769912,-502.0321,-256.93680880000005,-758.9689088,1
3,-42.4981,-464.2377,-262.1319,10.07087328,-506.73580000000004,-252.06102671999997,-758.79682672,1
4,-34.727,-465.1944,-269.4744,10.2165768,-499.92139999999995,-259.2578232,-759.1792232,1
5,-36.2242,-472.9121,-258.9547,10.242283679999998,-509.1363,-248.71241632000002,-757.84871632,1
6,-38.5295,-465.2716,-263.0593,10.11210984,-503.80109999999996,-252.94719016000002,-756.74829016,1
7,-40.8245,-466.13,-264.6237,10.14558912,-506.9545,-254.47811087999997,-761.43261088,1
8,-37.3675,-445.4967,-277.5303,10.265018399999999,-482.8642,-267.26528160000004,-750.1294816,1
9,-36.587,-462.4751,-271.4369,10.20118032,-499.0621,-261.23571968,-760.29781968,1
10,-40.0278,-447.1135,-274.8541,9.9714636,-487.1413,-264.8826364,-752.0239364,1
11,-36.5805,-453.4355,-271.0256,10.20541176,-490.01599999999996,-260.82018824,-750.8361882400001,1
12,-40.1421,-489.4314,-232.6245,9.89000928,-529.5735,-222.73449072000003,-752.30799072,1
13,-43.5131,-466.4094,-259.5364,10.064416320000001,-509.9225,-249.47198368000002,-759.3944836800001,1
14,-40.5377,-477.5078,-257.3754,10.18867392,-518.0455,-247.18672608000003,-765.2322260799999,1
15,-30.6294,-476.0623,-257.8739,10.138847759999999,-506.69169999999997,-247.73505224,-754.4267522399999,1
16,-48.3918,-466.0126,-259.8785,10.18269072,-514.4044,-249.69580927999996,-764.10020928,1
17,-38.2679,-487.96,-250.8837,10.30689504,-526.2279,-240.57680496,-766.80470496,1
18,-40.2282,-467.8968,-262.3251,10.208663999999999,-508.125,-252.11643600000002,-760.241436,1
19,-37.701,-474.9061,-256.1842,10.16999928,-512.6071,-246.01420071999996,-758.6213007199999,1
