Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL,Stage
0,-1719.2619,-17122.6928,-3305.5822,82.74397392,-18841.954700000002,-3222.83822608,-22064.79292608,1
1,-1728.6787,-17052.4073,-3338.8817,82.58842224,-18781.086,-3256.29327776,-22037.379277760003,1
2,-1705.426,-17126.8431,-3264.9607,81.145602,-18832.269099999998,-3183.815098,-22016.084197999997,1
3,-1723.2078,-17157.9391,-3240.6933,83.08489248,-18881.1469,-3157.60840752,-22038.755307519998,1
4,-1707.9154,-17043.8851,-3322.4262,81.91988783999999,-18751.8005,-3240.50631216,-21992.30681216,1
5,-1694.1647,-17135.6122,-3304.4759,82.26294552,-18829.7769,-3222.21295448,-22051.98985448,1
6,-1710.1185,-17101.1383,-3292.0836,83.37340872,-18811.2568,-3208.71019128,-22019.966991280002,1
7,-1682.7409,-17132.9419,-3288.2452,82.67028336,-18815.682800000002,-3205.5749166399996,-22021.257716640004,1
8,-1715.8504,-17093.2188,-3308.8969,82.19362032,-18809.069199999998,-3226.7032796800004,-22035.77247968,1
9,-1698.653,-17236.6073,-3226.9242,81.68704632,-18935.260299999998,-3145.23715368,-22080.49745368,1
10,-1685.51,-17051.1346,-3335.9184,81.27696528,-18736.6446,-3254.6414347200002,-21991.286034719997,1
11,-1699.6638,-17082.8865,-3309.6388,81.23435496,-18782.5503,-3228.40444504,-22010.95474504,1
12,-1697.1914,-17083.6583,-3308.6796,82.17227231999999,-18780.8497,-3226.50732768,-22007.35702768,1
13,-1715.0656,-17209.602,-3193.9938,82.41869159999999,-18924.6676,-3111.5751084000003,-22036.2427084,1
14,-1665.1293,-17214.645,-3235.878,81.4968792,-18879.7743,-3154.3811208,-22034.1554208,1
15,-1697.177,-17330.0578,-3113.2243,79.44166296,-19027.2348,-3033.78263704,-22061.017437040002,1
16,-1707.5061,-17256.4408,-3158.2712,78.33998736,-18963.9469,-3079.93121264,-22043.87811264,1
17,-1719.9732,-17230.6897,-3191.1874,79.45129008,-18950.6629,-3111.7361099199998,-22062.39900992,1
18,-1686.1179,-17362.3297,-3108.526,79.70567256,-19048.4476,-3028.82032744,-22077.267927439996,1
19,-1674.6373,-17329.246,-3083.7135,78.88254912000001,-19003.883299999998,-3004.83095088,-22008.71425088,1
