Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL,Stage
0,-1771.7811,-17878.1961,-3301.0428,82.00838232,-19649.9772,-3219.0344176800004,-22869.01161768,9
1,-1767.464,-17992.8453,-3210.5182,81.10437192,-19760.3093,-3129.41382808,-22889.72312808,9
2,-1794.8296,-17918.7976,-3214.3411,81.39808224,-19713.627200000003,-3132.94301776,-22846.570217760003,9
3,-1783.9709,-17795.9863,-3408.9236,85.16109888,-19579.9572,-3323.7625011200003,-22903.71970112,9
4,-1816.2606,-17940.2133,-3207.4507,79.90229376,-19756.4739,-3127.54840624,-22884.022306240004,9
5,-1785.7621,-18006.5626,-3183.4008,81.12002616,-19792.3247,-3102.2807738399997,-22894.60547384,9
6,-1819.5687,-17831.2041,-3372.1293,81.46248695999999,-19650.7728,-3290.66681304,-22941.43961304,9
7,-1772.4597,-17980.0875,-3225.7492,82.85882975999999,-19752.5472,-3142.8903702400003,-22895.43757024,9
8,-1810.2068,-17968.6516,-3263.9515,81.61577136000001,-19778.8584,-3182.33572864,-22961.19412864,9
9,-1815.688,-18028.4698,-3186.3449,79.82241768,-19844.1578,-3106.52248232,-22950.68028232,9
10,-1795.3837,-17923.3841,-3307.667,84.33585936,-19718.767799999998,-3223.33114064,-22942.09894064,9
11,-1802.206,-17827.439,-3342.446,82.29487248,-19629.644999999997,-3260.15112752,-22889.796127519996,9
12,-1797.9442,-17890.812,-3221.8574,80.98449839999999,-19688.756200000003,-3140.8729015999998,-22829.629101600003,9
13,-1812.6874,-17946.2895,-3265.4793,82.97186183999999,-19758.976899999998,-3182.5074381599998,-22941.484338159997,9
14,-1784.4316,-17923.8122,-3264.5475,81.54691416,-19708.2438,-3183.00058584,-22891.24438584,9
15,-1808.657,-17826.63,-3292.6801,81.69373223999999,-19635.287,-3210.98636776,-22846.27336776,9
16,-1800.1594,-17971.6978,-3194.656,82.32098472,-19771.857200000002,-3112.33501528,-22884.19221528,9
17,-1752.2289,-18007.204,-3194.9842,82.46828304,-19759.4329,-3112.5159169599997,-22871.948816959997,9
18,-1794.8429,-17945.1838,-3206.5726,82.10920536,-19740.0267,-3124.46339464,-22864.490094639998,9
19,-1810.0041,-17864.6697,-3249.9039,80.45856936,-19674.673799999997,-3169.4453306399996,-22844.11913064,9
