Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL,Stage
0,-1738.2778,-17733.8208,-3419.1961,90.54632088,-19472.0986,-3328.64977912,-22800.748379120003,39
1,-1723.9611,-17668.9754,-3492.5527,91.7614476,-19392.9365,-3400.7912524000003,-22793.7277524,39
2,-1802.2407,-17587.1558,-3509.1476,92.09232936,-19389.3965,-3417.05527064,-22806.45177064,39
3,-1762.8419,-17652.2641,-3558.0553,91.22507279999999,-19415.106,-3466.8302272,-22881.9362272,39
4,-1790.3484,-17698.7592,-3523.6691,88.97484816,-19489.1076,-3434.69425184,-22923.80185184,39
5,-1761.2202,-17603.8769,-3529.3106,90.94548096,-19365.0971,-3438.3651190399996,-22803.46221904,39
6,-1757.394,-17663.5569,-3500.2825,92.99170799999999,-19420.9509,-3407.290792,-22828.241692,39
7,-1789.8576,-17638.0445,-3486.1103,89.89537464,-19427.9021,-3396.21492536,-22824.11702536,39
8,-1802.6915,-17675.4644,-3464.2244,88.88177304,-19478.1559,-3375.34262696,-22853.49852696,39
9,-1792.6164,-17692.8063,-3498.212,89.48038319999999,-19485.4227,-3408.7316168,-22894.1543168,39
10,-1812.4968,-17751.8171,-3421.8696,88.85919455999999,-19564.3139,-3333.01040544,-22897.32430544,39
11,-1774.6841,-17783.977,-3431.1467,88.81682544,-19558.661099999998,-3342.3298745599996,-22900.990974559998,39
12,-1760.2605,-17603.0376,-3551.29,91.17406512,-19363.2981,-3460.11593488,-22823.41403488,39
13,-1773.1587,-17669.3226,-3508.2851,89.9761248,-19442.4813,-3418.3089752,-22860.7902752,39
14,-1771.0047,-17797.2608,-3367.2448,90.25869528,-19568.2655,-3276.9861047199997,-22845.25160472,39
15,-1801.294,-17639.7569,-3497.254,87.97054392,-19441.050900000002,-3409.2834560799997,-22850.334356080002,39
16,-1762.7996,-17746.4092,-3442.8937,89.82089064,-19509.208799999997,-3353.07280936,-22862.281609359998,39
17,-1798.1519,-17767.1655,-3377.6884,89.53284672,-19565.3174,-3288.15555328,-22853.472953279997,39
18,-1789.9212,-17693.425,-3443.0897,89.72078327999999,-19483.3462,-3353.36891672,-22836.71511672,39
19,-1776.7227,-17637.3793,-3523.844,91.80099216,-19414.102,-3432.04300784,-22846.14500784,39
