Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL,Stage
0,-39.1658,-494.2719,-247.5961,130.0251,-124.9606,-533.4377000000001,-242.5316,-775.9693000000001,1
1,-38.0107,-496.4241,-247.5887,130.3558,-126.2998,-534.4348,-243.5327,-777.9675,1
2,-41.254,-494.7862,-247.0477,129.5998,-125.1666,-536.0402,-242.61450000000002,-778.6547,1
3,-41.1203,-489.3157,-248.4688,129.4486,-126.3404,-530.436,-245.36059999999998,-775.7966000000001,1
4,-41.7866,-497.6296,-243.3977,130.0204,-124.7458,-539.4162,-238.1231,-777.5393,1
5,-36.5429,-510.3923,-244.3654,129.7369,-126.137,-546.9352,-240.7655,-787.7007000000001,1
6,-33.6477,-493.2872,-244.6988,129.5526,-126.8682,-526.9349,-242.0144,-768.9493,1
7,-33.3646,-524.856,-235.5129,130.0487,-126.0857,-558.2206,-231.5499,-789.7705,1
8,-39.3558,-503.2537,-241.567,130.7858,-127.2339,-542.6095,-238.01510000000002,-780.6246000000001,1
9,-36.6528,-496.4956,-242.6025,130.1621,-125.6005,-533.1484,-238.04089999999997,-771.1893,1
10,-38.3679,-500.3529,-243.2592,130.6157,-127.7375,-538.7207999999999,-240.38099999999997,-779.1017999999999,1
11,-41.6318,-490.4021,-246.4321,130.0345,-126.2954,-532.0339,-242.69299999999998,-774.7269,1
12,-37.4195,-494.3749,-247.8188,130.9701,-126.1167,-531.7944,-242.9654,-774.7598,1
13,-38.4338,-501.9581,-244.2557,129.1509,-125.4357,-540.3919,-240.54049999999998,-780.9324,1
14,-34.8799,-501.9629,-251.6523,129.3211,-126.3071,-536.8428,-248.63830000000002,-785.4811,1
15,-36.9398,-494.9745,-249.4219,130.748,-126.4938,-531.9143,-245.1677,-777.0819999999999,1
16,-34.7542,-505.3357,-235.3013,130.2661,-127.5451,-540.0899,-232.58030000000002,-772.6702,1
17,-41.9189,-507.3597,-231.3417,130.1054,-126.5407,-549.2786,-227.777,-777.0556,1
18,-41.6418,-492.8516,-245.8197,129.5856,-125.395,-534.4934000000001,-241.6291,-776.1225000000001,1
19,-31.8346,-516.0853,-235.0588,129.2596,-125.0743,-547.9199,-230.87349999999998,-778.7934,1
